user_id,persona,drift_direction,had_spike
u0086,high_risk,0,False
u0087,borderline,-1,False
u0088,healthy,0,False
u0089,borderline,1,False
u0090,healthy,0,False
u0091,high_risk,-1,False
u0092,borderline,1,False
u0093,borderline,0,False
u0094,healthy,0,False
u0095,borderline,0,False
u0096,borderline,0,False
u0097,healthy,0,False
u0098,healthy,0,False
u0099,weekend_binger,0,False
u0100,weekend_binger,0,False
u0101,high_risk,-1,False
u0102,healthy,0,False
u0103,weekend_binger,0,False
u0104,high_risk,-1,False
u0105,high_risk,0,False
u0106,borderline,-1,False
u0107,healthy,0,False
u0108,healthy,0,False
u0109,weekend_binger,0,False
u0110,borderline,0,False
u0111,healthy,0,False
u0112,healthy,0,False
u0113,borderline,-1,False
u0114,healthy,0,False
u0115,weekend_binger,0,False
u0116,high_risk,-1,False
u0117,high_risk,0,False
u0118,borderline,0,False
u0119,borderline,0,False
u0120,borderline,-1,False
u0121,borderline,0,False
u0122,healthy,0,False
u0123,borderline,0,False
u0124,healthy,0,False
u0125,borderline,0,False
u0126,healthy,0,False
u0127,healthy,0,False
u0128,healthy,0,False
u0129,borderline,0,False
u0130,healthy,0,False
u0131,weekend_binger,0,False
u0132,borderline,1,False
u0133,healthy,0,False
u0134,borderline,0,False
u0135,healthy,0,False
u0136,weekend_binger,0,False
u0137,borderline,1,False
u0138,high_risk,0,False
u0139,healthy,0,False
u0140,borderline,0,False
u0141,borderline,0,False
u0142,weekend_binger,0,False
u0143,borderline,0,False
u0144,borderline,0,False
u0145,healthy,0,False
u0146,healthy,0,False
u0147,borderline,0,False
u0148,borderline,-1,False
u0149,healthy,0,False
u0150,high_risk,0,False
u0151,weekend_binger,0,False
u0152,healthy,0,False
u0153,borderline,1,False
u0154,healthy,0,False
u0155,high_risk,0,False
u0156,healthy,0,False
u0157,high_risk,0,False
u0158,high_risk,0,False
u0159,high_risk,0,False
u0160,healthy,0,False
u0161,weekend_binger,0,False
u0162,healthy,0,False
u0163,healthy,0,False
u0164,borderline,1,False
u0165,borderline,-1,False
u0166,high_risk,-1,False
u0167,high_risk,0,False
u0168,healthy,0,False
u0169,weekend_binger,0,False
u0170,healthy,0,False
u0171,borderline,0,False
u0172,healthy,0,False
u0173,weekend_binger,0,False
u0174,healthy,0,False
u0175,healthy,0,False
u0176,borderline,0,False
u0177,weekend_binger,0,False
u0178,weekend_binger,0,False
u0179,high_risk,-1,False
u0180,weekend_binger,0,False
u0181,weekend_binger,0,False
u0182,borderline,0,False
u0183,healthy,0,False
u0184,high_risk,0,False
u0185,high_risk,0,False
u0186,borderline,0,False
u0187,healthy,0,False
u0188,high_risk,-1,False
u0189,healthy,0,False
u0190,weekend_binger,0,False
u0191,healthy,0,False
u0192,healthy,0,False
u0193,high_risk,1,False
u0194,healthy,0,False
u0195,healthy,0,False
u0196,borderline,0,False
u0197,weekend_binger,0,False
u0198,healthy,0,False
u0199,healthy,0,True
u0200,high_risk,0,False
u0201,weekend_binger,0,False
u0202,borderline,-1,False
u0203,healthy,0,False
u0204,healthy,0,False
u0205,healthy,0,False
u0206,healthy,0,False
u0207,high_risk,-1,False
u0208,healthy,0,False
u0209,borderline,0,False
u0210,high_risk,-1,False
u0211,borderline,1,False
u0212,healthy,0,False
u0213,high_risk,1,False
u0214,high_risk,0,False
u0215,high_risk,0,False
u0216,healthy,0,True
u0217,healthy,0,True
u0218,weekend_binger,0,False
u0219,borderline,0,False
u0220,healthy,0,False
u0221,borderline,0,False
u0222,high_risk,1,False
u0223,weekend_binger,0,False
u0224,healthy,0,False
u0225,weekend_binger,0,False
u0226,healthy,0,False
u0227,borderline,1,False
u0228,borderline,0,False
u0229,healthy,0,False
u0230,healthy,0,False
u0231,borderline,0,False
u0232,weekend_binger,0,False
u0233,borderline,0,False
u0234,weekend_binger,0,False
u0235,high_risk,0,False
u0236,borderline,0,False
u0237,high_risk,0,False
u0238,healthy,0,False
u0239,healthy,0,False
u0240,high_risk,-1,False
u0241,high_risk,0,False
u0242,healthy,0,False
u0243,borderline,1,False
u0244,borderline,0,False
u0245,weekend_binger,0,False
u0246,borderline,0,False
u0247,borderline,-1,False
u0248,borderline,0,False
u0249,borderline,0,False
u0250,high_risk,0,False
u0251,weekend_binger,0,False
u0252,borderline,1,False
u0253,healthy,0,False
u0254,healthy,0,False
u0255,high_risk,0,False
u0256,high_risk,0,False
u0257,healthy,0,False
u0258,healthy,0,False
u0259,borderline,0,False
u0260,healthy,0,False
u0261,high_risk,0,False
u0262,healthy,0,False
u0263,healthy,0,False
u0264,weekend_binger,0,False
u0265,healthy,0,False
u0266,healthy,0,False
u0267,healthy,0,False
u0268,healthy,0,False
u0269,healthy,0,False
u0270,healthy,0,False
u0271,healthy,0,True
u0272,healthy,0,True
u0273,borderline,0,False
u0274,high_risk,-1,False
u0275,borderline,0,False
u0276,healthy,0,False
u0277,borderline,0,False
u0278,weekend_binger,0,False
u0279,weekend_binger,0,False
u0280,healthy,0,False
u0281,healthy,0,False
u0282,healthy,0,False
u0283,healthy,0,False
u0284,borderline,0,False
u0285,borderline,-1,False
u0286,healthy,0,False
u0287,borderline,0,False
u0288,borderline,1,False
u0289,healthy,0,False
u0290,high_risk,0,False
u0291,healthy,0,False
u0292,weekend_binger,0,False
u0293,healthy,0,False
u0294,high_risk,0,False
u0295,weekend_binger,0,False
u0296,weekend_binger,0,False
u0297,high_risk,0,False
u0298,high_risk,0,False
u0299,borderline,-1,False
u0300,high_risk,-1,False
u0301,healthy,0,False
u0302,borderline,0,False
u0303,borderline,0,False
u0304,weekend_binger,0,False
u0305,borderline,0,False
u0306,borderline,0,False
u0307,borderline,0,False
u0308,healthy,0,False
u0309,healthy,0,False
u0310,borderline,0,False
u0311,borderline,0,False
u0312,healthy,0,False
u0313,borderline,0,False
u0314,borderline,0,False
u0315,healthy,0,False
u0316,borderline,0,False
u0317,high_risk,0,False
u0318,healthy,0,False
u0319,weekend_binger,0,False
u0320,weekend_binger,0,False
u0321,borderline,0,False
u0322,healthy,0,False
u0323,borderline,0,False
u0324,high_risk,0,False
u0325,high_risk,0,False
u0326,high_risk,0,False
u0327,borderline,0,False
u0328,borderline,1,False
u0329,healthy,0,False
u0330,high_risk,0,False
u0331,healthy,0,False
u0332,high_risk,-1,False
u0333,weekend_binger,0,False
u0334,healthy,0,True
u0335,borderline,0,False
u0336,healthy,0,False
u0337,high_risk,0,False
u0338,healthy,0,False
u0339,weekend_binger,0,False
u0340,healthy,0,False
u0341,weekend_binger,0,False
u0342,high_risk,0,False
u0343,borderline,0,False
u0344,high_risk,1,False
u0345,high_risk,-1,False
u0346,weekend_binger,0,False
u0347,healthy,0,False
u0348,borderline,1,False
u0349,healthy,0,True
u0350,borderline,-1,False
u0351,healthy,0,False
u0352,borderline,1,False
u0353,borderline,1,False
u0354,borderline,-1,False
u0355,borderline,0,False
u0356,high_risk,0,False
u0357,high_risk,-1,False
u0358,borderline,-1,False
u0359,borderline,1,False
u0360,weekend_binger,0,False
u0361,healthy,0,True
u0362,healthy,0,False
u0363,healthy,0,False
u0364,high_risk,0,False
u0365,borderline,0,False
u0366,high_risk,0,False
u0367,high_risk,0,False
u0368,healthy,0,True
u0369,weekend_binger,0,False
u0370,high_risk,0,False
u0371,healthy,0,False
u0372,borderline,0,False
u0373,healthy,0,False
u0374,healthy,0,False
u0375,healthy,0,False
u0376,weekend_binger,0,False
u0377,borderline,0,False
u0378,borderline,1,False
u0379,high_risk,1,False
u0380,borderline,-1,False
u0381,weekend_binger,0,False
u0382,high_risk,0,False
u0383,borderline,0,False
u0384,borderline,-1,False
u0385,weekend_binger,0,False
u0386,high_risk,-1,False
u0387,weekend_binger,0,False
u0388,healthy,0,False
u0389,weekend_binger,0,False
u0390,borderline,0,False
u0391,healthy,0,False
u0392,borderline,0,False
u0393,high_risk,-1,False
u0394,healthy,0,True
u0395,borderline,0,False
u0396,high_risk,-1,False
u0397,healthy,0,True
u0398,borderline,0,False
u0399,borderline,1,False
u0400,healthy,0,False
u0401,weekend_binger,0,False
u0402,high_risk,0,False
u0403,healthy,0,False
u0404,weekend_binger,0,False
u0405,weekend_binger,0,False
u0406,healthy,0,False
u0407,high_risk,-1,False
u0408,healthy,0,False
u0409,weekend_binger,0,False
u0410,high_risk,0,False
u0411,high_risk,0,False
u0412,healthy,0,False
u0413,weekend_binger,0,False
u0414,healthy,0,False
u0415,healthy,0,False
u0416,healthy,0,False
u0417,high_risk,0,False
u0418,healthy,0,False
u0419,weekend_binger,0,False
u0420,high_risk,0,False
u0421,healthy,0,False
u0422,healthy,0,False
u0423,healthy,0,False
u0424,borderline,0,False
u0425,high_risk,1,False
u0426,healthy,0,False
u0427,high_risk,-1,False
u0428,healthy,0,False
u0429,high_risk,-1,False
u0430,weekend_binger,0,False
u0431,high_risk,0,False
u0432,high_risk,0,False
u0433,high_risk,0,False
u0434,healthy,0,False
u0435,healthy,0,False
u0436,healthy,0,False
u0437,borderline,-1,False
u0438,high_risk,0,False
u0439,borderline,0,False
u0440,weekend_binger,0,False
u0441,healthy,0,True
u0442,high_risk,-1,False
u0443,healthy,0,False
u0444,healthy,0,False
u0445,high_risk,0,False
u0446,weekend_binger,0,False
u0447,borderline,-1,False
u0448,healthy,0,False
u0449,borderline,1,False
u0450,healthy,0,False
u0451,weekend_binger,0,False
u0452,high_risk,0,False
u0453,healthy,0,False
u0454,healthy,0,False
u0455,healthy,0,False
u0456,weekend_binger,0,False
u0457,borderline,1,False
u0458,high_risk,0,False
u0459,borderline,1,False
u0460,borderline,0,False
u0461,healthy,0,True
u0462,weekend_binger,0,False
u0463,healthy,0,False
u0464,borderline,0,False
u0465,high_risk,0,False
u0466,borderline,-1,False
u0467,weekend_binger,0,False
u0468,healthy,0,False
u0469,borderline,0,False
u0470,borderline,-1,False
u0471,borderline,1,False
u0472,healthy,0,False
u0473,healthy,0,True
u0474,healthy,0,False
u0475,healthy,0,False
u0476,borderline,-1,False
u0477,borderline,-1,False
u0478,borderline,1,False
u0479,borderline,0,False
u0480,borderline,0,False
u0481,healthy,0,False
u0482,borderline,0,False
u0483,healthy,0,False
u0484,healthy,0,False
u0485,borderline,0,False
u0486,borderline,0,False
u0487,healthy,0,False
u0488,borderline,0,False
u0489,borderline,0,False
u0490,high_risk,0,False
u0491,borderline,0,False
u0492,high_risk,0,False
u0493,healthy,0,False
u0494,high_risk,0,False
u0495,borderline,1,False
u0496,borderline,0,False
u0497,borderline,0,False
u0498,borderline,0,False
u0499,borderline,1,False
